iter	Passed	Remaining
937	53376	3528
938	53427	3470
939	53479	3413
940	53530	3356
941	53581	3299
942	53632	3241
943	53686	3184
944	53738	3127
945	53791	3070
946	53842	3013
947	53893	2956
948	53945	2899
949	53995	2841
950	54046	2784
951	54097	2727
952	54149	2670
953	54203	2613
954	54256	2556
955	54308	2499
956	54362	2442
957	54413	2385
958	54466	2328
959	54518	2271
960	54571	2214
961	54623	2157
962	54678	2100
963	54728	2043
964	54780	1986
965	54832	1929
966	54884	1873
967	54937	1816
968	54988	1759
969	55039	1702
970	55091	1645
971	55143	1588
972	55195	1531
973	55248	1474
974	55300	1417
975	55358	1361
976	55416	1304
977	55467	1247
978	55519	1190
979	55571	1134
980	55622	1077
981	55674	1020
982	55727	963
983	55780	907
984	55832	850
985	55886	793
986	55938	736
987	55995	680
988	56047	623
989	56100	566
990	56153	509
991	56208	453
992	56260	396
993	56312	339
994	56366	283
995	56417	226
996	56469	169
997	56524	113
998	56576	56
999	56628	0
